,cumulative_net_pnl
2026-03-12 14:47:57.791,-2169170.1235824996
2026-03-12 14:48:21.826,-2213102.913336357
2026-03-12 14:48:40.305,-2222055.9624488736
2026-03-12 14:49:25.790,-2244972.068532944
2026-03-12 14:49:51.010,-2248204.2872236054
2026-03-12 14:49:51.223,-2251436.5020369273
2026-03-12 14:49:51.437,-2253349.960534836
2026-03-12 15:20:55.921,-2340688.2739598257
2026-03-12 15:21:07.449,-2339467.295909595
2026-03-12 15:21:20.165,-2341883.21702526
2026-03-12 15:21:22.712,-2354108.676758107
2026-03-12 15:21:23.136,-2270529.548123435
2026-03-12 15:21:39.012,-2145712.752148062
2026-03-12 15:21:39.223,-2146740.390129026
2026-03-12 15:21:54.675,-2156233.3425604594
2026-03-12 15:23:07.115,-2187829.0063081216
2026-03-12 15:23:08.170,-2210687.4593664706
2026-03-12 15:23:09.220,-2212507.6575591285
2026-03-12 15:23:52.649,-2221514.0881022443
2026-03-12 15:23:52.649,-2265051.064762392
2026-03-12 15:24:07.434,-2276317.711354211
2026-03-12 15:24:07.434,-2320272.13378697
2026-03-12 15:27:03.267,-2332006.5909017213
2026-03-12 15:27:03.267,-2376465.8108168817
2026-03-12 15:27:29.559,-2386307.7111434434
2026-03-12 15:27:43.009,-2337877.105178182
2026-03-12 15:27:59.384,-2337755.3678741516
2026-03-12 15:28:20.195,-2346542.0410408773
2026-03-12 15:28:20.195,-2390013.5952401063
2026-03-12 15:28:28.021,-2390191.9256959963
2026-03-12 15:28:28.021,-2390612.224351028
2026-03-12 15:28:37.330,-2400870.473797374
2026-03-12 15:29:18.871,-2477583.1623931564
2026-03-12 15:29:22.284,-2486973.634950696
2026-03-12 15:29:33.963,-2500223.619068143
2026-03-12 15:29:37.589,-2500301.901239566
