episode,agent,is_bps,total_reward,remaining_shares,timestamp
4,Aggressive,5.5104,-539745.628,0,2026-03-11T04:40:04.295889+00:00
5,Aggressive,5.2,-509341.4292,0,2026-03-11T04:40:04.295981+00:00
6,Aggressive,5.4469,-532981.5303,0,2026-03-11T04:40:04.296078+00:00
7,Aggressive,6.4304,-624069.4789,0,2026-03-11T04:40:04.296165+00:00
8,Aggressive,13.6542,-1333333.3333,0,2026-03-11T04:40:04.296252+00:00
9,Aggressive,5.2248,-511766.0901,0,2026-03-11T04:40:04.296341+00:00
10,Aggressive,5.4436,-530478.5126,0,2026-03-11T04:40:04.296425+00:00
11,Aggressive,5.535,-541597.3378,0,2026-03-11T04:40:04.296512+00:00
12,Aggressive,5.2637,-516627.8683,0,2026-03-11T04:40:04.296616+00:00
13,Aggressive,5.299,-519040.3656,0,2026-03-11T04:40:04.296703+00:00
14,Aggressive,5.5613,-544169.6113,0,2026-03-11T04:40:04.296790+00:00
15,Aggressive,5.4548,-533211.5576,0,2026-03-11T04:40:04.296878+00:00
16,Aggressive,5.3662,-524009.6038,0,2026-03-11T04:40:04.296963+00:00
17,Aggressive,5.3683,-525826.4463,0,2026-03-11T04:40:04.297051+00:00
18,Aggressive,7.8835,-766666.6667,0,2026-03-11T04:40:04.297142+00:00
19,Aggressive,5.2364,-512908.2225,0,2026-03-11T04:40:04.297230+00:00
20,Aggressive,5.2821,-517914.7259,0,2026-03-11T04:40:04.297315+00:00
21,Aggressive,5.3768,-524503.7981,0,2026-03-11T04:40:04.297406+00:00
22,Aggressive,6.0659,-593545.3695,0,2026-03-11T04:40:04.297494+00:00
23,Aggressive,6.0919,-594876.6603,0,2026-03-11T04:40:04.297591+00:00
24,Aggressive,5.316,-520703.9337,0,2026-03-11T04:40:04.297675+00:00
25,Aggressive,7.2508,-708768.2672,0,2026-03-11T04:40:04.297760+00:00
26,Aggressive,5.2859,-515114.873,0,2026-03-11T04:40:04.297847+00:00
