,cumulative_net_pnl
2026-03-17 14:03:40,7973503.28937387
2026-03-17 14:06:15,7935985.908097847
2026-03-17 14:08:35,7960112.920728418
2026-03-17 14:08:40,7959033.710403242
2026-03-17 14:08:45,7957681.119297072
2026-03-17 14:12:40,7910594.619443709
2026-03-17 14:12:45,7902576.3786517475
2026-03-17 14:24:40,7901395.769908123
2026-03-17 14:24:45,7887663.935783816
2026-03-17 14:24:50,7883048.416523032
2026-03-17 14:31:25,7849836.567255538
2026-03-17 14:37:15,7849769.205405602
2026-03-17 14:38:05,7849511.335078786
2026-03-17 14:38:50,7849443.97621913
2026-03-17 14:40:10,7849337.855616938
2026-03-17 14:40:15,7849170.507439196
2026-03-17 14:43:30,7817092.780744441
2026-03-17 14:51:25,7796729.090111765
2026-03-17 14:54:15,7711327.298579651
2026-03-17 14:56:35,7711359.870621828
2026-03-17 14:57:50,7711093.621314145
2026-03-17 14:58:40,7711026.215238554
2026-03-17 15:03:00,7710813.200533741
2026-03-17 15:06:25,7709635.416367704
2026-03-17 15:06:45,7705300.135706626
2026-03-17 15:20:05,7566551.911318777
2026-03-17 15:20:35,7700382.042574541
2026-03-17 15:20:40,7687417.445785195
2026-03-17 15:21:30,7492725.453251128
2026-03-17 15:22:05,7486547.388304186
2026-03-17 15:22:10,7360417.520131919
2026-03-17 15:22:25,7413445.620631501
2026-03-17 15:22:30,7413073.387217899
2026-03-17 15:22:35,7430195.5250522
2026-03-17 15:22:40,7429714.663850155
2026-03-17 15:22:45,7429231.2846719725
2026-03-17 15:22:50,7428744.883373801
2026-03-17 15:22:55,7427762.326822354
2026-03-17 15:23:00,7418365.653936753
2026-03-17 15:23:05,7417455.979375165
2026-03-17 15:23:10,7416533.285418571
2026-03-17 15:23:15,7423694.551465193
2026-03-17 15:23:20,7422642.688503459
2026-03-17 15:23:25,7421576.589221095
2026-03-17 15:23:30,7420495.809406934
2026-03-17 15:23:35,7419400.87929746
2026-03-17 15:23:40,7418291.210121476
2026-03-17 15:23:45,7417165.699985375
2026-03-17 15:23:50,7416023.43735355
2026-03-17 15:23:55,7414880.2933165245
2026-03-17 15:24:00,7413737.259309212
2026-03-17 15:24:05,7412594.6004217155
2026-03-17 15:24:10,7411452.141839285
2026-03-17 15:24:15,7410307.919176054
2026-03-17 15:24:20,7402372.144596222
2026-03-17 15:24:25,7401336.824758858
2026-03-17 15:24:30,7400301.502242847
2026-03-17 15:24:35,7348839.3603848005
2026-03-17 15:24:45,7341906.127838759
2026-03-17 15:24:50,7340972.89704285
2026-03-17 15:24:55,7340040.232700074
2026-03-17 15:25:00,7338635.167501448
2026-03-17 15:25:05,7337231.618679794
2026-03-17 15:25:10,7341260.926610059
2026-03-17 15:25:15,7339261.577277622
2026-03-17 15:25:35,7339186.878978803
2026-03-17 15:28:20,7337951.610350765
2026-03-17 15:29:05,7338082.092755954
2026-03-17 15:29:50,7337455.7952031465
